original_index,name,category,manual_code,correct_option,correct_n,llm,prediction,match
672,cody's beer with citrus and vodka taste,beer,02.1.9.0,True,6,qwen2.5:32b,02.1.3.0,False
673,sir winston zenzero & arancia te verde,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
674,lipton ice tea peach,iced tea,01.2.3.0,True,11,qwen2.5:32b,01.2.2.0,False
675,"nescafe dolce gusto espresso roma 99,2 gr","zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,7,qwen2.5:32b,01.2.2.0,True
676,kafer shiraz australia,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
677,fabiano valpolicella storica 2019,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
678,beefeater pink gin 700 ml,spirits,02.1.1.0,True,1,qwen2.5:32b,02.1.1.0,True
679,innocent fp plus berry 750ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
680,lunardi soave,wine cellar | wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
681,bottega bottega prosecco rose' 75cl,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
682,"paulaner natur radler 0,5 l",bier,02.1.9.0,True,5,qwen2.5:32b,07.3.6.0,False
683,caffe motta dolce gusto arabica x16 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
684,flora vegan spread,spreads,01.1.5.3,True,10,qwen2.5:32b,01.1.9.9,False
685,pfanner peach drink 2l,beverages | juices & ice-teas,01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
686,viti&vini ortrugo doc colli piacentini 375 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
687,lunetta spumante rose 75cl,wine cellar | wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
688,nescafe original 2 in 1  9g,coffee,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
689,riso scotti organic rice and almond drink,organic products,01.1.4.4,True,12,qwen2.5:32b,01.2.9.0,False
690,dany chicken luncheon meat 340g,tins cans & packets,01.1.9.1,False,0,qwen2.5:32b,01.1.9.9,False
691,cumbres de gredos vino trinto brik,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
692,food for all artigiano del bio riso basmati integrale,organic products,01.1.1.5,False,0,qwen2.5:32b,01.1.4.1,False
693,duchessa lia moscato 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,True,6,qwen2.5:32b,02.1.2.2,False
694,seltz sifone,"vini, birra e liquori | liquori",01.2.6.0,True,2,qwen2.5:32b,02.1.9.0,False
695,novosal,"conserve | olio, aceto e sale",01.1.9.3,False,0,qwen2.5:32b,13.1.2.0,False
696,brothers cider strawberry & lime 500ml,drinks | beers & ciders | cider,02.1.2.2,True,9,qwen2.5:32b,02.1.2.2,True
697,cantina valtidone barbera frizzante colli piacentini doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,4,qwen2.5:32b,02.1.2.1,True
698,lactel uht whole milk 3.5% 1lt,"chilled and dairy | milk, butter & eggs",01.1.4.1,True,4,qwen2.5:32b,01.1.4.7,False
699,pepsi max zero 1.5ltr,soft drinks,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
700,latte magro scremato uht,"latticini | latte, uova e burro",01.1.4.2,True,11,qwen2.5:32b,01.1.4.7,False
701,rauch happy day coco pineapple 1 ltr,juices & smoothies,01.2.1.0,True,8,qwen2.5:32b,01.2.9.0,False
702,"vicentini tisana mago merlino liquirizia,anice e finocchio","zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,True,3,qwen2.5:32b,01.2.3.0,True
703,happy chef butter beans 400g,tins cans & packets,01.1.7.9,True,3,qwen2.5:32b,01.1.7.7,False
704,vladivar vodka 700 grms,spirits,02.1.1.0,True,3,qwen2.5:32b,02.1.1.0,True
705,kwak birra strong ale ambrata 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,12,qwen2.5:32b,02.1.3.0,True
706,innocent blueberries peaches & apples smoothie  750 ml,chilled fruit juice & smoothie,01.2.1.0,True,6,qwen2.5:32b,01.2.1.0,True
707,vinum merum bellamar gutturnio classico superiore doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
708,espresso caffe e ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,9,qwen2.5:32b,01.2.2.0,True
709,"burro gold 2,5kg bayernland",burro & margarina,01.1.5.2,False,0,qwen2.5:32b,01.1.5.2,True
710,moet & chandon moet & chandon champagne,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
711,fiorentini rice snack chili organic bio  gluten free ( g. f. s),organic products,01.1.1.9,True,2,qwen2.5:32b,01.1.9.9,False
712,burro lurpak leggeremente salato 200g,burro & margarina,01.1.5.2,True,1,qwen2.5:32b,01.1.5.2,True
713,penfolds koonunga hill chardonnay,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
714,te' allo zenzero e agrumi 25filtri 50g twining,infusi,01.2.3.0,True,11,qwen2.5:32b,01.2.9.0,False
715,arabella sauv blanc 75cl,drinks | wine | white wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
716,food for all fino sale himalayano,organic products,01.1.9.3,True,1,qwen2.5:32b,01.1.9.9,False
717,primia olio friggimix,olio e conserve | olio,01.1.5.1,True,9,qwen2.5:32b,01.1.9.9,False
718,food for all grosso sale himalayano,organic products,01.1.9.3,True,1,qwen2.5:32b,01.1.9.9,False
719,red bull red watermelon 250ml,drinks | energy drinks | energy drinks,01.2.9.0,True,5,qwen2.5:32b,01.2.9.0,True
720,saquella italla espresso gran creama 500 g,coffee,01.2.2.0,True,12,qwen2.5:32b,01.2.2.0,True
721,russo maraschino liquore per dolci 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,6,qwen2.5:32b,04.5.3.0,False
722,natural by oglivy organic honey foe tea & coffee,organic products,01.1.9.3,False,0,qwen2.5:32b,01.1.8.3,False
723,pascual bi frutas tropical,juices,01.2.1.0,True,9,qwen2.5:32b,01.2.9.0,False
724,lurpak spreadble unsalted 250 grms,"milk, butter & eggs",01.1.5.2,True,8,qwen2.5:32b,01.1.5.2,True
725,albarino pazo barrantes,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
726,expressi typ cacao cioccolata 240g,kaffee,01.2.4.0,True,6,qwen2.5:32b,01.1.9.9,False
727,perrier sparkling water 330 ml,bottled water,01.2.5.0,True,11,qwen2.5:32b,01.2.5.0,True
728,uova bio,"latticini | latte, uova e burro",01.1.4.8,True,4,qwen2.5:32b,01.1.4.8,True
729,pfanner peach nectar 1l,beverages | juices & ice-teas,01.2.1.0,True,6,qwen2.5:32b,01.2.9.0,False
730,lavazza tierra brazil ground 180g,beverages | coffee & tea,01.2.2.0,True,12,qwen2.5:32b,01.2.2.0,True
731,carrefour squeezed blond oranges,juices,01.2.1.0,True,3,qwen2.5:32b,01.2.1.0,True
732,"hohes c multivitaminsaft 1,5 l",saft & nektar,01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
733,te verde aromatizzato lampone e frutto della passione 20 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,True,10,qwen2.5:32b,01.2.3.0,True
734,quargentan rosso,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
735,francoli grappa arneis e bracchetto,"acqua, bevande, alcolici | liquori",02.1.1.0,True,8,qwen2.5:32b,02.1.2.1,False
736,diet radisson radisson corn cakes,organic products,01.1.1.4,True,6,qwen2.5:32b,01.1.9.9,False
737,step apple pear drink 2 pcs.,soft drinks,01.2.1.0,True,2,qwen2.5:32b,01.2.6.0,False
738,percorsi di gusto primia nettare di mirtillo,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
739,decaffe' miscela di caffe decaffeinato,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,11,qwen2.5:32b,01.2.2.0,True
740,oransoda aranciata italiana 200 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,4,qwen2.5:32b,01.2.9.0,False
741,mirinda orange 6x330ml,soft drinks,01.2.6.0,True,7,qwen2.5:32b,01.2.6.0,True
742,okf coco natural coconut drink 1.5 ltr,bottled water,01.2.9.0,True,2,qwen2.5:32b,08.3.4.0,False
743,"nescafe cappuccino extra cremoso 186,4 gr","zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
744,la canva barbera del piemonte doc 3 lt,"acqua, bevande, alcolici | vini",02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
745,leffe beer brune (dark) 6.5% 330ml,drinks | beers & ciders | beers & lagers,02.1.3.0,True,12,qwen2.5:32b,02.1.3.0,True
746,rum galleon white spirit 38deg 70cl noi&voi,tequila & rum,02.1.1.0,True,5,qwen2.5:32b,13.9.0.2,False
747,glenkinchie malt whiskey 12 y.o 70cl,drinks | spirits & liqueurs | whisky,02.1.1.0,True,3,qwen2.5:32b,02.1.1.0,True
748,castelli romeo e giulietta soave,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
749,latte alta digeribilita parzialmente scremato senza lattosio,"latticini | latte, uova e burro",01.1.4.2,True,9,qwen2.5:32b,01.1.4.3,False
750,primia bevanda ananas e mela,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
751,anterra moscato sicilia,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
752,ecomil ecomil almond milk original,organic products,01.1.4.4,True,11,qwen2.5:32b,01.1.4.7,False
753,i can't believe it's not butter gold,spreads,01.1.5.2,True,1,qwen2.5:32b,01.1.9.9,False
754,distillato d'uva,"vini, birra e liquori | liquori",02.1.1.0,True,5,qwen2.5:32b,02.1.1.0,True
755,pfanner orange juice 1l,beverages | juices & ice-teas,01.2.1.0,True,7,qwen2.5:32b,01.2.9.0,False
756,yellow tail merlot 75cl,drinks | wine | red wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
757,kenco inst salt caramel latte 162.4g,beverages | coffee & tea,01.1.4.7,True,1,qwen2.5:32b,01.2.2.0,False
758,acqua panna still water x,water,01.2.5.0,True,12,qwen2.5:32b,01.2.5.0,True
759,carrefour bio whole cane sugar,organic products,01.1.8.1,True,11,qwen2.5:32b,01.1.8.1,True
760,bacardi breezer pineapple 275 ml,spirits,02.1.9.0,True,2,qwen2.5:32b,02.1.1.0,False
761,lakeland yellow unsalted butter 250g,"milk, butter & eggs",01.1.5.2,True,10,qwen2.5:32b,01.1.5.2,True
762,del monte del monte peach chunks in juice pot x4 113g,tins cans & packets,01.1.6.9,True,6,qwen2.5:32b,01.2.1.0,False
763,maynards fine porto ruby,wine,02.1.2.1,True,7,qwen2.5:32b,02.1.2.1,True
764,ron barcelo' cream rum 700 ml,spirits,02.1.1.0,True,3,qwen2.5:32b,02.1.1.0,True
765,lemonsoda la limonata 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,8,qwen2.5:32b,01.2.6.0,True
766,safari orange juice,juices,01.2.1.0,True,7,qwen2.5:32b,01.2.1.0,True
767,via verde bio primia olio di semi di mais 750 ml,olio e conserve | olio,01.1.5.1,True,12,qwen2.5:32b,01.1.9.9,False
768,monster energy 500ml,soft drinks,01.2.9.0,True,4,qwen2.5:32b,01.2.6.0,False
769,"don simon sangria 1,5 lt","acqua, bevande, alcolici | liquori",02.1.2.1,True,1,qwen2.5:32b,02.1.2.2,False
770,milsani frucht auf joghurt 150 g,milchprodukte,01.1.4.6,True,10,qwen2.5:32b,01.1.4.3,False
771,fanta arancia rossa zero 660 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,6,qwen2.5:32b,01.2.6.0,True
772,rauch bravo sunny orange- mango,juices,01.2.1.0,True,9,qwen2.5:32b,01.2.9.0,False
773,bottega limoncello liquer,alcohol,02.1.1.0,True,5,qwen2.5:32b,02.2.0.0,False
774,landessa ice coffee espresso 230 ml,coffee,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
775,la bella sedara sicilia doc,"vini, birra e liquori | vini",02.1.2.1,True,8,qwen2.5:32b,02.1.2.1,True
776,carrefour lattina limonata,soft drinks,01.2.6.0,True,8,qwen2.5:32b,01.2.6.0,True
777,lavazza a modo mio espresso intensita 12 16 pcs.,coffee,01.2.2.0,True,11,qwen2.5:32b,01.2.2.0,True
778,via verde bio primia infuso finocchio 40 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,True,3,qwen2.5:32b,01.2.3.0,True
779,del monte pizza sauce  400 grms,tins cans & packets,01.1.9.3,True,1,qwen2.5:32b,01.1.9.9,False
780,birra premium,"vini, birra e liquori | birra",02.1.3.0,True,8,qwen2.5:32b,02.1.3.0,True
781,benecol light spread 250g,"chilled and dairy | milk, butter & eggs",01.1.5.2,True,1,qwen2.5:32b,01.1.5.3,False
782,coricelli olive oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,True,12,qwen2.5:32b,01.1.5.1,True
783,blossom hill red 75cl,drinks | wine | red wine,02.1.2.1,True,7,qwen2.5:32b,02.1.2.1,True
784,carrefour classic tomato puree 700 grms,tins cans & packets,01.1.9.3,False,0,qwen2.5:32b,01.1.9.9,False
785,kopparberg naked apple cider 330 ml,beer & cider,02.1.2.2,True,8,qwen2.5:32b,02.1.2.2,True
786,russo crema di limone 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,5,qwen2.5:32b,04.5.2.2,False
787,horlicks malted drink light 500gr,food cupboard groceries | hot chocolate & malted drinks | malted drinks,01.2.9.0,True,1,qwen2.5:32b,01.1.8.3,False
788,ballantine's scoth whisky,alcohol,02.1.1.0,True,6,qwen2.5:32b,02.1.1.0,True
789,meadow lea margarine original 1 kg,"milk, butter & eggs",01.1.5.3,True,11,qwen2.5:32b,01.1.9.9,False
790,fernet-branca del famoso,alcohol,02.1.1.0,True,7,qwen2.5:32b,02.2.0.0,False
791,bolero instant drink sugar free honey melon 090 grms,soft drinks,01.2.9.0,True,3,qwen2.5:32b,01.2.9.0,True
792,caliza chardonnay,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
793,liquore di limoni,"vini, birra e liquori | liquori",02.1.1.0,True,8,qwen2.5:32b,02.1.9.0,False
794,groot chicken luncheon meat 340 grms,tins cans & packets,01.1.9.1,True,1,qwen2.5:32b,01.1.9.9,False
795,pirovano nero d'avola igt terre siciliane 75cl,drinks | wine | red wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
796,regular,"acqua, bibite e succhi | bibite",01.2.6.0,True,1,qwen2.5:32b,01.2.6.0,True
797,flora buttery 500gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,True,3,qwen2.5:32b,01.1.5.2,True
798,diamante red kidney beans 390 g,tins cans & packets,01.1.7.9,True,2,qwen2.5:32b,15.3.2.0,False
799,ramazzotti sambuca,"acqua, bevande, alcolici | liquori",02.1.1.0,True,9,qwen2.5:32b,02.2.0.0,False
800,zonin prosecchino 600 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,True,4,qwen2.5:32b,02.1.2.2,False
801,carrefour classic cola,soft drinks,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
802,monster vr46 energy drink the doctor 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,True,5,qwen2.5:32b,01.2.9.0,True
803,biona peanut butter crunchy 15% off,organic products,01.1.8.4,True,4,qwen2.5:32b,01.1.9.9,False
804,j.bally rhum ambre agricole 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,6,qwen2.5:32b,02.2.0.0,False
805,san valentino rose .75l,wine cellar | wine,02.1.2.1,True,7,qwen2.5:32b,02.1.2.1,True
806,veroni isotonic drink orange,energy drinks,01.2.9.0,True,3,qwen2.5:32b,01.2.9.0,True
807,dante classico olio di oliva 750 ml,olio e conserve | olio,01.1.5.1,True,7,qwen2.5:32b,01.1.9.9,False
808,bavaria holland beer @ EUR3.99,beer,02.1.3.0,True,11,qwen2.5:32b,02.1.3.0,True
809,maxwell coffee 200g offer,beverages | coffee & tea,01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
810,old jamaican ginger beer,beer,02.1.3.0,False,0,qwen2.5:32b,01.2.9.0,False
811,safari peach juice,juices,01.2.1.0,True,10,qwen2.5:32b,01.2.1.0,True
812,verdeca puglia igp,"vini, birra e liquori | vini",02.1.2.1,True,8,qwen2.5:32b,02.1.2.1,True
813,lavazza dgc espresso cremoso 16 pods,beverages | coffee & tea,01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
814,somersby apple cider can 330ml,beer & cider,02.1.2.2,True,8,qwen2.5:32b,02.1.2.2,True
815,bacardi 1l,beverages | spirits,02.1.1.0,True,2,qwen2.5:32b,02.1.1.0,True
816,circeo bianco dop,"vini, birra e liquori | vini",02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
817,leonardo chianti italia 750 ml,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
818,birra double ambree,"vini, birra e liquori | birra",02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
819,zonin moscato provincia di pavia,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
820,heinz green peas 400 grms,tins cans & packets,01.1.7.9,True,4,qwen2.5:32b,01.1.7.4,False
821,"beck's pils 0,5 l",bier,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
822,san giuliano olio extra vergine di oliva amabile 1 lt,olio e conserve | olio,01.1.5.1,True,10,qwen2.5:32b,15.2.4.0,False
823,j.moreau & fils sauvignon les coches,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
824,grants whiskey 70cl,beverages | spirits,02.1.1.0,True,7,qwen2.5:32b,02.1.1.0,True
825,la cheteau vouvray,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
826,rauch happy day banana juice,juices,01.2.1.0,True,7,qwen2.5:32b,01.2.1.0,True
827,erin hotcup beef & vegetable with croutons soup 3 p,tins cans & packets,01.1.9.1,True,1,qwen2.5:32b,01.1.9.9,False
828,avonmore pure irish unsalted butter,spreads,01.1.5.2,True,4,qwen2.5:32b,01.1.5.2,True
829,camomilla con melatonina 14 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,True,10,qwen2.5:32b,01.2.3.0,True
830,polara aranciata,soft drinks,01.2.6.0,True,7,qwen2.5:32b,01.2.6.0,True
831,trs yellow split peas 500g,tins cans & packets,01.1.7.9,True,1,qwen2.5:32b,01.1.7.7,False
832,pfanner bce berry 2l,beverages | juices & ice-teas,01.2.1.0,True,8,qwen2.5:32b,01.2.9.0,False
833,john west tuna chunks in sunflower oil 145 grms,tins cans & packets,01.1.9.1,False,0,qwen2.5:32b,01.1.3.1,False
834,coca cola 1.5l x6,beverages | soft drinks & mixers,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
835,crema e gusto classico cialde per macchina espresso,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,9,qwen2.5:32b,01.2.2.0,True
836,bavaria premium lager,beer,02.1.3.0,True,9,qwen2.5:32b,02.1.3.0,True
837,viaggio espresso intenso capsules x10 - dolce gusto compatible 70g,coffee,01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
838,food for all artigiano del bio farina di kamut biologica,organic products,01.1.1.2,True,4,qwen2.5:32b,01.1.1.1,False
839,margarina foglia d'oro 250gr,burro & margarina,01.1.5.3,True,12,qwen2.5:32b,01.1.5.2,False
840,pukka elderberry & echinacea 20pcs.,tea,01.2.3.0,True,7,qwen2.5:32b,01.2.9.0,False
841,peter & peter riesling mosel trocken 750 ml,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
842,corvo rosso 75cl,drinks | wine | red wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
843,biona organic spelt lasagna,organic products,01.1.1.5,False,0,qwen2.5:32b,01.1.9.9,False
844,good earth blueberries 150 grms,tins cans & packets,01.1.6.7,False,0,qwen2.5:32b,01.1.6.4,False
845,elite marrowfat peas 140 grms,tins cans & packets,01.1.7.9,True,3,qwen2.5:32b,01.1.7.4,False
846,chivas regal premium whisky 700 ml,spirits,02.1.1.0,True,7,qwen2.5:32b,02.1.1.0,True
847,codici - salento primitivo  x,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
848,simpl succo arancia rosso,juices,01.2.1.0,True,5,qwen2.5:32b,01.2.1.0,True
849,100% succo tropicale,"acqua, bibite e succhi | succhi",01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
850,carrefour peach juice 200ml,juices & smoothies,01.2.1.0,True,9,qwen2.5:32b,01.2.1.0,True
851,birra moretti birra chiara filtrata a freddo 550 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,5,qwen2.5:32b,02.1.3.0,True
852,cocco di mamma 21deg 70cl antiche distillerie,tequila & rum,02.1.1.0,True,5,qwen2.5:32b,02.1.2.2,False
853,cirio borlotti beans 410 grms,tins cans & packets,01.1.7.9,True,1,qwen2.5:32b,01.1.7.7,False
854,il feudo grand cuvee brut 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,True,8,qwen2.5:32b,02.1.2.2,False
855,rio d'oro orangendirektsaft 1 l,saft & nektar,01.2.1.0,True,1,qwen2.5:32b,08.1.5.0,False
856,beavertown stone buenaveza salt n lime lager,beer,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
857,idrolitina preparato per acqua da tavola 200 gr,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,True,1,qwen2.5:32b,01.2.9.0,True
858,sainsbury's red grape juice 1ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0,True,7,qwen2.5:32b,01.2.9.0,False
859,frisian flag creamy evaporated milk 170g,tins cans & packets,01.1.4.3,True,11,qwen2.5:32b,01.1.4.7,False
860,"statesman blended scotch whisky 0,7 l",spirituosen,02.1.1.0,True,5,qwen2.5:32b,02.1.1.0,True
861,baladin rock n roll,beer,02.1.3.0,True,8,qwen2.5:32b,02.1.3.0,True
862,damilano moscato d'asti 2021,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
863,d'argent gin rose 40%,alcohol,02.1.1.0,True,5,qwen2.5:32b,02.2.0.0,False
864,bonduelle mixed vegetables 200 grms,tins cans & packets,01.1.7.9,True,2,qwen2.5:32b,01.1.7.7,False
865,spritzzer white,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
866,havana club anejo 7 anos 40deg 70cl rum puro cubano,tequila & rum,02.1.1.0,True,1,qwen2.5:32b,02.3.0.2,False
867,vicentini tisana bacio di biancaneve mela e cannella 45 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,True,10,qwen2.5:32b,01.2.3.0,True
868,"estathe alla pesca senza zucchero 1,5l",thè,01.2.3.0,True,8,qwen2.5:32b,01.2.9.0,False
869,maralba collio ribolla gialla doc,"vini, birra e liquori | vini",02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
870,ha penny dublin dry gin,alcohol,02.1.1.0,True,4,qwen2.5:32b,02.2.0.0,False
871,negroamaro salento igt,"vini, birra e liquori | vini",02.1.2.1,True,7,qwen2.5:32b,02.1.2.1,True
872,nescafe non dairy mandorla macchiato x6x16gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,4,qwen2.5:32b,01.2.2.0,True
873,primia succo di frutta ace 600 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.1.0,True
874,kinnie can 6x,soft drinks,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
875,ahmad peach & passion fruit  flav. tea x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,True,9,qwen2.5:32b,01.2.3.0,True
876,tetley super fruits tea immune lemon & ginger x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,True,11,qwen2.5:32b,01.2.3.0,True
877,gusto limone,"acqua, bibite e succhi | bibite",01.2.6.0,True,3,qwen2.5:32b,01.2.6.0,True
878,la bella lola premium ale birra chiara 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,12,qwen2.5:32b,02.1.3.0,True
879,elite baked beans 15% off 210 grms,tins cans & packets,01.1.7.9,True,1,qwen2.5:32b,01.1.1.1,False
880,barzotto foresto liquore tipico,"acqua, bevande, alcolici | liquori",02.1.1.0,True,6,qwen2.5:32b,04.5.3.0,False
881,grolsch 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
882,cappy multi vitamin juice,juices,01.2.1.0,True,7,qwen2.5:32b,01.2.1.0,True
883,le bolle spuma pinot noir sauvignon 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,True,7,qwen2.5:32b,02.1.2.2,False
884,meridiana nexus merlot wine,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
885,tonica zero,"acqua, bibite e succhi | bibite",01.2.6.0,True,6,qwen2.5:32b,01.2.6.0,True
886,latte intero uht,"latticini | latte, uova e burro",01.1.4.1,True,2,qwen2.5:32b,01.1.4.7,False
887,gatorade orange 500ml,soft drinks,01.2.6.0,True,7,qwen2.5:32b,01.2.6.0,True
888,marsovin antonin barrel aged,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
889,coldpress golden delicious apple juice 250 ml,juices & smoothies,01.2.1.0,True,3,qwen2.5:32b,01.2.1.0,True
890,gato negro cabernet merlot 75cl,drinks | wine | red wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
891,mirinda,soft drinks,01.2.6.0,True,9,qwen2.5:32b,01.2.6.0,True
892,meadow lea salt reduced 500g,"chilled and dairy | milk, butter & eggs",01.1.5.2,True,5,qwen2.5:32b,01.1.9.3,False
893,twinings te english breakfast classico 50 filtri,infusi,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
894,percorsi di gusto primia nettare di lampone 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
895,messina cristalli di sale birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,2,qwen2.5:32b,02.1.3.0,True
896,nescafe gold blend decaff 100g,coffee,01.2.2.0,True,12,qwen2.5:32b,01.2.2.0,True
897,la trappe trappist birra blonde 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
898,twining infuse freddo mango/arancia/frutto della passione,infusi,01.2.3.0,True,4,qwen2.5:32b,01.2.9.0,False
899,carrefour bio gallette di grano saraceno,organic products,01.1.1.9,False,0,qwen2.5:32b,01.1.1.3,False
900,bavaria alcohol free 0.33cl x1 can,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.3.0,True,9,qwen2.5:32b,02.1.3.0,True
901,burco pure soya spread,spreads,01.1.5.3,True,3,qwen2.5:32b,01.1.9.9,False
902,borbone superginseg caffe compat dolce gusto 16pcs.,coffee,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
903,ahmad peach & raspberry infusion 20pcs.,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
904,heineken draught keg beer,beer,02.1.3.0,True,12,qwen2.5:32b,02.1.3.0,True
905,rum black spiced,"vini, birra e liquori | liquori",02.1.1.0,True,6,qwen2.5:32b,01.1.9.4,False
